Incident ID;Title (Company);Description;Date of occurrence;Jurisdiction;LINDDUN categories;Data exposure score;Identification score;Data Sensitivity score;Threat Actor;Techniques Used;Data Protection State;Root Cause (Why);Asset Type;Source;has_personal_data;has_special_categories;has_credentials
hibp-2024-06-05-AdvanceAutoParts-advanceautoparts.com-Advance Auto Parts;AdvanceAutoParts;In June 2024, Advance Auto Parts confirmed they had suffered a data breach which was posted for sale to a popular hacking forum. Linked to unauthorised access to Snowflake cloud services, the breach exposed a large number of records related to both customers and employees. In total, 79M unique email addresses were included in the breach, alongside names, phone numbers, addresses and further data attributes related to company employees.;05.06.24 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Unknown;Unknown;Network;HIBP;1;0;0
hibp-2019-09-24-AgusiQTorrents-agusiq-torrents.pl-AgusiQ-Torrents.pl;AgusiQTorrents;In September 2019, Polish torrent site AgusiQ-Torrents.pl suffered a data breach. The incident exposed 90k member records including email and IP addresses, usernames and passwords stored as MD5 hashes.;24.09.19 00:00;EU;Linkability, Identifiability;0;1;0;Extern (Intentional);Unknown;Weak;Unknown;Network;HIBP;1;0;1
hibp-2019-04-28-Aimware-aimware.net-Aimware;Aimware;"In mid-2019, the video game cheats website ""Aimware"" suffered a data breach that exposed hundreds of thousands of subscribers' personal information. Data included email and IP addresses, usernames, forum posts, private messages, website activity and passwords stored as salted MD5 hashes.";28.04.19 00:00;Non-EU;Linkability, Identifiability, Detectability;0;1;0;Extern (Intentional);Unknown;Strong;Unknown;Unknown;HIBP;1;0;1
hibp-2018-12-13-Ajarn-ajarn.com-Ajarn;Ajarn;In September 2021, the Thai-based English language teaching website Ajarn discovered they'd been the victim of a data breach dating back to December 2018. The breach was self-submitted to HIBP and included 266k email addresses, names, genders, phone numbers and other personal information. Hashed passwords were also impacted in the breach.;13.12.18 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Weak;Unknown;Network;HIBP;1;0;0
hibp-2025-02-15-AlienStealerLogs--ALIEN TXTBASE Stealer Logs;AlienStealerLogs;In February 2025, 23 billion rows of stealer logs were obtained from a Telegram channel known as ALIEN TXTBASE. The data contained 284M unique email addresses alongside the websites they were entered into and the passwords used. This data is now searchable in HIBP by both email domain and the domain of the target website.;15.02.25 00:00;Non-EU;Linkability;1;1;0;Unknown;Unknown;Unknown;Unknown;Network;HIBP;1;0;0
hibp-2025-07-16-AllianzLife-allianzlife.com-Allianz Life;AllianzLife;"In July 2025, Allianz Life was the victim of a cyber attack which resulted in millions of records later being leaked online. Allianz attributed the attack to ""a social engineering technique"" which targeted data on Salesforce and resulted in the exposure of 1.1M unique email addresses, names, genders, dates of birth, phone numbers and physical addresses.";16.07.25 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Phishing;Unknown;Unknown;Network;HIBP;1;0;0
hibp-2019-08-27-AlpineReplay-traceup.com-AlpineReplay;AlpineReplay;In 2019, the snow sports tracking app AlpineReplay suffered a data breach that exposed 900k unique email addresses. Later rolled into the Trace service, the breach included names, usernames, genders, dates of birth, weights and passwords stored as either unsalted MD5 or bcrypt hashes.;27.08.19 00:00;Non-EU;Linkability, Identifiability;0;1;0;Extern (Intentional);Unknown;Strong;Unknown;Unknown;HIBP;1;0;1
hibp-2022-06-24-Altenen-altenens.is-Altenen;Altenen;"In June 2022, the malicious ""carding"" (referring to credit card fraud) website Altenen suffered a data breach that was later redistributed as part of a larger corpus of data. The data included 1.3M unique email addresses, usernames, bcrypt password hashes and cryptocurrency wallet addresses.";24.06.22 00:00;Non-EU;Linkability, Identifiability;0;1;0;Extern (Intentional);Unknown;Strong;Profit-Oriented;Network;HIBP;1;0;0
hibp-2022-05-16-AmartFurniture-amartfurniture.com.au-Amart Furniture;AmartFurniture;In May 2022, the Australian retailer Amart Furniture advised that their warranty claims database hosted on Amazon Web Services had been the target of a cyber attack. Over 100k records containing email and physical address, names, phone numbers and passwords stored as bcrypt hashes were exposed and shared online by the attacker.;16.05.22 00:00;Non-EU;Linkability, Identifiability;0;2;0;Unknown;Unknown;Strong;Unknown;Software, Services, Systems;HIBP;1;0;1
hibp-2021-07-28-AndroidLista-androidlista.com-AndroidLista;AndroidLista;In July 2021, the Android applications and games review site AndroidLista suffered a data breach. The incident exposed 6.6M user records containing email addresses, names, usernames and passwords stored as salted SHA-1 hashes, all of which were subsequently posted to a popular hacking forum. AndroidLista did not respond when contacted about the breach.;28.07.21 00:00;Non-EU;Linkability, Identifiability;0;1;0;Extern (Intentional);Unknown;Weak;Unknown;Software, Services, Systems;HIBP;1;0;1
hibp-2020-10-12-AnimalJam-animaljam.com-Animal Jam;AnimalJam;In October 2020, the online game for kids Animal Jam suffered a data breach which was subsequently shared through online hacking communities the following month. The data contained 46 million user accounts with over 7 million unique email addresses. Impacted data also included usernames, IP addresses and for some records, dates of birth (sometimes in partial form), physical addresses, parent names and passwords stored as PBKDF2 hashes.;12.10.20 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Strong;Unknown;Network;HIBP;1;0;1
hibp-2020-02-27-AnimeGame-animegame.me-AnimeGame;AnimeGame;In February 2020, the gaming website AnimeGame suffered a data breach. The incident affected 1.4M subscribers and exposed email addresses, usernames and passwords stored as salted MD5 hashes. The data was subsequently shared on a popular hacking forum and was provided to HIBP by dehashed.com.;27.02.20 00:00;Non-EU;Linkability, Identifiability;0;1;0;Extern (Intentional);Unknown;Strong;Unknown;Network;HIBP;1;0;1
hibp-2021-10-14-Animeify-animeify.net-Animeify;Animeify;In October 2021, the now defunct Arabic language Anime website Animeify suffered a data breach that was later redistributed as part of a larger corpus of data. The data included 808k unique email addresses along with names, usernames, genders and plain text passwords.;14.10.21 00:00;Non-EU;Linkability, Identifiability;0;1;0;Extern (Intentional);Unknown;;Challenge/Fun;Network;HIBP;1;0;1
hibp-2024-07-04-AnimeLeague-animeleague.net-AnimeLeague;AnimeLeague;In July 2024, AnimeLeague disclosed a data breach of their services. The data was posted for sale on a popular hacking forum and included 2 databases covering both event registration records and a dump of the phpBB bulletin board. The impacted data included passwords in various hashed formats including SHA-1, salted md5 and bcrypt, as well as usernames, private messages, dates of birth, purchases and 192k unique email addresses.;04.07.24 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Strong;Unknown;Software, Services, Systems;HIBP;1;0;1
hibp-2018-07-10-Animoto-animoto.com-Animoto;Animoto;In July 2018, the cloud-based video making service Animoto suffered a data breach. The breach exposed 22 million unique email addresses alongside names, dates of birth, country of origin and salted password hashes.;10.07.18 00:00;Non-EU;Linkability, Identifiability;0;1;0;Extern (Intentional);Drive-by Compromise;Weak;Unknown;Network;HIBP;1;0;0
hibp-2019-04-15-ApexSMS--ApexSMS;ApexSMS;"In May 2019, news broke of a massive SMS spam operation known as ""ApexSMS"" which was discovered after a MongoDB instance of the same name was found exposed without a password. The incident leaked over 80M records with 23M unique email addresses alongside names, phone numbers and carriers, geographic locations (state and country), genders and IP addresses.";15.04.19 00:00;Non-EU;Linkability, Identifiability;1;2;0;Unknown;Unknown;Unknown;Unknown;Software, Services, Systems;HIBP;1;0;0
hibp-2025-12-16-APOIAse-apoia.se-APOIA.se;APOIAse;In December 2025, a database of the Brazilian crowdfunding platform APOIA.se was posted to an online forum. In January 2026, the company confirmed it had suffered a data breach. The incident exposed 451k unique email addresses along with names and physical addresses.;16.12.25 00:00;EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Unknown;Challenge/Fun;Software, Services, Systems;HIBP;1;0;0
hibp-2022-09-03-APKTW-apk.tw-APK.TW;APKTW;In September 2022, the Taiwanese Android forum APK.TW suffered a data breach that was later redistributed as part of a larger corpus of data. The breach exposed 2.5M unique email addresses along with IP addresses, usernames and salted MD5 password hashes.;03.09.22 00:00;Non-EU;Linkability, Identifiability;0;1;0;Extern (Intentional);Unknown;Strong;Unknown;Network;HIBP;1;0;1
hibp-2018-07-23-Apollo-apollo.io-Apollo;Apollo;"In July 2018, the sales engagement startup Apollo left a database containing billions of data points publicly exposed without a password. The data was discovered by security researcher Vinny Troia who subsequently sent a subset of the data containing 126 million unique email addresses to Have I Been Pwned. The data left exposed by Apollo was used in their ""revenue acceleration platform"" and included personal information such as names and email addresses as well as professional information including places of employment, the roles people hold and where they're located. Apollo stressed that the exposed data did not include sensitive information such as passwords, social security numbers or financial data. The Apollo website has a contact form for those looking to get in touch with the organisation.";23.07.18 00:00;Non-EU;Linkability, Identifiability;0;2;0;Unknown;Exploit Public-Facing Application;;Unknown;Software, Services, Systems;HIBP;1;0;0
hibp-2020-06-22-Appen-appen.com-Appen;Appen;In June 2020, the AI training data company Appen suffered a data breach exposing the details of almost 5.9 million users which were subsequently sold online. Included in the breach were names, email addresses and passwords stored as bcrypt hashes. Some records also contained phone numbers, employers and IP addresses. The data was provided to HIBP by dehashed.com.;22.06.20 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Strong;Profit-Oriented;Network;HIBP;1;0;1
hibp-2020-04-13-Aptoide-aptoide.com-Aptoide;Aptoide;In April 2020, the independent Android app store Aptoide suffered a data breach. The incident resulted in the exposure of 20M customer records which were subsequently shared online via a popular hacking forum. Impacted data included email and IP addresses, names, IP addresses and passwords stored as SHA-1 hashes without a salt.;13.04.20 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Weak;Espionage;Network;HIBP;1;0;1
hibp-2019-01-01-ArmorGames-armorgames.com-Armor Games;ArmorGames;In January 2019, the game portal website Armor Games suffered a data breach. A total of 10.6 million email addresses were impacted by the breach which also exposed usernames, IP addresses, birthdays of administrator accounts and passwords stored as salted SHA-1 hashes.;01.01.19 00:00;Non-EU;Linkability, Identifiability;0;1;0;Extern (Intentional);Valid Accounts;Weak;Espionage;Network;HIBP;1;0;1
hibp-2025-08-31-ArtistsNClients-artistsnclients.com-Artists&Clients;ArtistsNClients;"In August 2025, the ""marketplace that connects artists to prospective clients"" Artists&Clients, suffered a data breach and subsequent ransom demand of US$50k. The data was subsequently leaked publicly and included 95k unique email addresses alongside usernames, IP addresses and bcrypt password hashes.";31.08.25 00:00;Non-EU;Linkability, Identifiability;0;1;0;Extern (Intentional);Unknown;Strong;Profit-Oriented;Network;HIBP;1;0;0
hibp-2018-11-05-Adapt-adapt.io-Adapt;Adapt;"In November 2018, security researcher Bob Diachenko identified an unprotected database hosted by data aggregator ""Adapt"". A provider of ""Fresh Quality Contacts"", the service exposed over 9.3M unique records of individuals and employer information including their names, employers, job titles, contact information and data relating to the employer including organisation description, size and revenue. No response was received from Adapt when contacted.";05.11.18 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Unknown;Espionage;Software, Services, Systems;HIBP;1;0;0
hibp-2026-01-30-ANPS-anps.fr-Association Nationale des Premiers Secours;ANPS;In January 2026, a data breach impacting the French non-profit Association Nationale des Premiers Secours (ANPS) was posted to a hacking forum. The breach exposed 5.6k unique email addresses along with names, dates of birth and places of birth. ANPS self-submitted the data to HIBP and advised the incident was traced back to a legacy system and did not impact health data, financial information or passwords.;30.01.26 00:00;EU;Linkability, Identifiability;0;1;0;Extern (Intentional);Unknown;Unknown;Unknown;Network;HIBP;1;0;0
hibp-2021-08-20-AllegedATT--AT&T;AllegedATT;In March 2024, tens of millions of records allegedly breached from AT&T were posted to a popular hacking forum. Dating back to August 2021, the data was originally posted for sale before later being freely released. At the time, AT&T maintained that there had not been a breach of their systems and that the data originated from elsewhere. 12 days later, AT&T acknowledged that data fields specific to them were in the breach and that it was not yet known whether the breach occurred at their end or that of a vendor. AT&T also proceeded to reset customer account passcodes, an indicator that there was sufficient belief passcodes had been compromised. The incident exposed names, email and physical addresses, dates of birth, phone numbers and US social security numbers.;20.08.21 00:00;Non-EU;Linkability, Identifiability;0;2;0;Unknown;Drive-by Compromise;Unknown;Unknown;Network;HIBP;1;0;0
hibp-2018-08-25-AtlasQuantum-atlasquantum.com-Atlas Quantum;AtlasQuantum;In August 2018, the cryptocurrency investment platform Atlas Quantum suffered a data breach. The breach leaked the personal data of 261k investors on the platform including their names, phone numbers, email addresses and account balances.;25.08.18 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Unknown;Unknown;Network;HIBP;1;0;0
hibp-2021-04-16-Atmeltomo-atmeltomo.com-Atmeltomo;Atmeltomo;"In April 2021, ""Japan's largest e-mail friend search site"" Atmeltomo suffered a data breach that was later sold on a popular hacking forum. The breach exposed 1.3M records with 580k unique email addresses along with usernames, IP addresses and unsalted MD5 password hashes.";16.04.21 00:00;Non-EU;Linkability, Identifiability;0;1;0;Extern (Intentional);Unknown;Strong;Profit-Oriented;Network;HIBP;1;0;1
hibp-2019-08-14-Audi-audiusa.com-Audi;Audi;In August 2019, Audi USA suffered a data breach after a vendor left data unsecured and exposed on the internet. The data contained 2.7M unique email addresses along with names, phone numbers, physical addresses and vehicle information including VIN. In a disclosure statement from Audi, they also advised some customers had driver's licenses, dates of birth, social security numbers and other personal information exposed.;14.08.19 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Unknown;Unknown;Network;HIBP;1;0;0
hibp-2025-03-16-AUTOSUR-autosur.fr-AUTOSUR;AUTOSUR;In March 2025, the French vehicle inspection company AUTOSUR suffered a data breach exposing over 10M customer records, though only 487k unique email addresses were present. The compromised data included names, phone numbers, physical addresses, and vehicle details such as make and model, VIN, and registration plate. AUTOSUR later issued a disclosure notice with further details.;16.03.25 00:00;EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Unknown;Unknown;Network;HIBP;1;0;0
hibp-2022-11-18-Avito-avito.ma-Avito;Avito;In November 2022, the Moroccan e-commerce service Avito suffered a data breach that exposed the personal information of 2.7M customers. The data included name, email, phone, IP address and geographic location.;18.11.22 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Unknown;Unknown;Network;HIBP;0;0;0
hibp-2019-12-17-Avvo-avvo.com-Avvo;Avvo;In approximately December 2019, an alleged data breach of the lawyer directory service Avvo was published to an online hacking forum and used in an extortion scam (it's possible the exposure dates back earlier than that). The data contained 4.1M unique email addresses alongside SHA-1 hashes, most likely representing user passwords. Multiple attempts at contacting Avvo over the course of a week were unsuccessful and the authenticity of the data was eventually verified with common Avvo and HIBP subscribers.;17.12.19 00:00;Non-EU;Linkability;0;1;0;Extern (Intentional);Unknown;Weak;Profit-Oriented;Network;HIBP;1;0;1
hibp-2018-12-29-BannerBit-bannerbit.com-BannerBit;BannerBit;In approximately December 2018, the online ad platform BannerBit suffered a data breach. Containing 213k unique email addresses and plain text passwords, the data was provided to HIBP by a third party. Multiple attempts were made to contact BannerBit, but no response was received.;29.12.18 00:00;Non-EU;Linkability;0;1;0;Extern (Intentional);Unknown;;Unknown;Network;HIBP;1;0;1
hibp-2025-11-09-Beckett-beckett.com-Beckett Collectibles;Beckett;In November 2025, Beckett Collectibles experienced a data breach accompanied by website content defacement. The stolen data was later advertised for sale on a prominent hacking forum, with portions subsequently released publicly. The publicly circulating data initially included more than 500k email addresses reportedly belonging to North American customers, before a larger corpus of over 1M addresses was published the following month. The impacted data included names, usernames, phone numbers and physical addresses.;09.11.25 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Unknown;Challenge/Fun;Network;HIBP;1;0;0
hibp-2025-02-14-Adpost-adpost.com-Adpost;Adpost;In February 2025, data obtained from an earlier Adpost breach surfaced. The dataset contained 3.3M records including email addresses, usernames, and display names. Adpost later published a disclosure notice and advised they'd forced a credential refresh, among other actions.;14.02.25 00:00;Non-EU;Linkability, Identifiability;0;1;0;Unknown;Unknown;Unknown;Unknown;Network;HIBP;1;0;0
hibp-2019-11-01-Benchmark-benchmark.rs-Benchmark;Benchmark;In November 2019, the Serbian technology news website Benchmark suffered a breach of its forum that exposed 93k customer records. The breach exposed IP and email addresses, usernames and passwords stored as salted MD5 hashes. A forum administrator subsequently advised that the breach was due to the forum previously running on an outdated vBulletin instance.;01.11.19 00:00;Non-EU;Linkability, Identifiability;0;1;0;Unknown;Unknown;Strong;Unknown;Network;HIBP;1;0;1
hibp-2026-01-09-Betterment-betterment.com-Betterment;Betterment;In January 2026, the automated investment platform Betterment confirmed it had suffered a data breach attributed to a social engineering attack. As part of the incident, Betterment customers received fraudulent crypto-related messages promising high returns if funds were sent to an attacker-controlled cryptocurrency wallet. The breach exposed 1.4M unique email addresses, along with names and geographic location data. A subset of records also included dates of birth, phone numbers, and physical addresses. In its disclosure notice, Betterment stated that the incident did not provide attackers with access to customer accounts and did not expose passwords or other login credentials.;09.01.26 00:00;Non-EU;Linkability, Identifiability, Detectability;0;2;0;Extern (Intentional);Phishing;Unknown;Profit-Oriented;Network;HIBP;1;0;0
hibp-2020-01-27-Bhinneka-bhinneka.com-Bhinneka;Bhinneka;In early 2020, the Indonesian consumer electronics website Bhinneka suffered a data breach that exposed almost 1.3M customer records. The data included email and physical addresses, names, genders, dates of birth, phone numbers and salted password hashes.;27.01.20 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Weak;Unknown;Network;HIBP;1;0;0
hibp-2020-10-14-bigbasket-bigbasket.com-bigbasket;bigbasket;In October 2020, the Indian grocery platform bigbasket suffered a data breach that exposed over 20 million customer records. The data was originally sold before being leaked publicly in April the following year and included email, IP and physical addresses, names, phones numbers, dates of birth passwords stored as Django(SHA-1) hashes.;14.10.20 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Drive-by Compromise;Weak;Profit-Oriented;Network;HIBP;1;0;1
hibp-2024-12-14-BitView-bitview.net-BitView;BitView;In December 2024, the video sharing Community BitView suffered a data breach that exposed 63k customer records. Attributed to a backup taken by a previous administrator earlier in the year, the breach exposed email and IP addresses, bcrypt password hashes, usernames, bios, private messages, video comments and for some records, gender, date of birth and country of location.;14.12.24 00:00;Non-EU;Linkability, Identifiability;0;1;0;Extern (Intentional);Unknown;Strong;Unknown;Network;HIBP;1;0;0
hibp-2022-05-06-BlackBerryFans-blackberryfans.org-BlackBerry Fans;BlackBerryFans;In May 2022, the Chinese BlackBerry enthusiasts website BlackBerry Fans suffered a data breach that exposed 174k member records. The impacted data included usernames, email and IP addresses and passwords stored as salted MD5 hashes.;06.05.22 00:00;Non-EU;Linkability, Identifiability;0;1;0;Extern (Intentional);Unknown;Strong;Unknown;Network;HIBP;1;0;1
hibp-2019-07-14-BlackSpigotMC-blackspigot.com-BlackSpigotMC;BlackSpigotMC;In July 2019, the hacking website BlackSpigotMC suffered a data breach. The XenForo forum based site was allegedly compromised by a rival hacking website and resulted in 8.5GB of data being leaked including the database and website itself. The exposed data included 140k unique email addresses, usernames, IP addresses, genders, geographic locations and passwords stored as bcrypt hashes.;14.07.19 00:00;Non-EU;Linkability, Identifiability, Detectability;0;1;0;Extern (Intentional);Unknown;Strong;Unknown;Software, Services, Systems;HIBP;1;0;1
hibp-2018-12-28-BlankMediaGames-blankmediagames.com-BlankMediaGames;BlankMediaGames;In December 2018, the Town of Salem website produced by BlankMediaGames suffered a data breach. Reported to HIBP by DeHashed, the data contained 7.6M unique user email addresses alongside usernames, IP addresses, purchase histories and passwords stored as phpass hashes. DeHashed made multiple attempts to contact BlankMediaGames over various channels and many days but had yet to receive a response at the time of publishing.;28.12.18 00:00;Non-EU;Linkability, Identifiability, Detectability;0;1;0;Extern (Intentional);Unknown;Unknown;Unknown;Network;HIBP;1;0;1
hibp-2023-11-11-BloomsToday-bloomstoday.com-Blooms Today;BloomsToday;In April 2024, 15M records from the online florist Blooms Today were listed for sale on a popular hacking forum. The most recent data in the breach corpus was from November 2023 and appeared alongside 3.2M unique email addresses, names, phone numbers physical addresses and partial credit card data (card type, 4 digits of the number and expiry date). The breach did not expose sufficient card data to make purchases. Blooms Today did not respond when contacted about the incident.;11.11.23 00:00;Non-EU;Linkability, Identifiability;0;2;0;Unknown;Unknown;Unknown;Profit-Oriented;Network;HIBP;1;0;0
hibp-2024-03-25-boAt-boat-lifestyle.com-boAt;boAt;In March 2024, the Indian audio and wearables brand boAt suffered a data breach that exposed 7.5M customer records. The data included physical and email address, names and phone numbers, all of which were subsequently published to a popular clear web hacking forum.;25.03.24 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Unknown;Unknown;Network;HIBP;1;0;0
hibp-2018-12-07-BombujEu-bombuj.eu-Bombuj.eu;BombujEu;In December 2018, the Slovak website for watching movies online for free Bombuj.eu suffered a data breach. The incident exposed over 575k unique email addresses and passwords stored as unsalted MD5 hashes. No response was received from Bombuj.eu when contacted about the incident.;07.12.18 00:00;EU;Linkability;0;1;0;Extern (Intentional);Unknown;Strong;Unknown;Network;HIBP;1;0;1
hibp-2020-08-14-Bonobos-bonobos.com-Bonobos;Bonobos;In August 2020, the clothing store Bonobos suffered a data breach that exposed almost 70GB of data containing 2.8 million unique email addresses. The breach also exposed names, physical and IP addresses, phone numbers, order histories and passwords stored as salted SHA-512 hashes, including historical passwords. The breach also exposed partial credit card data including card type, the name on the card, expiry date and the last 4 digits of the card. The data was provided to HIBP by dehashed.com.;14.08.20 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Strong;Profit-Oriented;Software, Services, Systems;HIBP;1;0;1
hibp-2021-01-28-Bookchor-bookchor.com-Bookchor;Bookchor;In January 2021, the Indian book trading website Bookchor suffered a data breach that exposed half a million customer records. The exposed data included email and IP addresses, names, genders, dates of birth, phone numbers and passwords stored as unsalted MD5 hashes. The data was subsequently traded on a popular hacking forum.;28.01.21 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Strong;Unknown;Network;HIBP;1;0;1
hibp-2018-07-08-Bookmate-bookmate.com-Bookmate;Bookmate;In mid-2018, the social ebook subscription service Bookmate was among a raft of sites that were breached and their data then sold in early-2019. The data included almost 4 million unique email addresses alongside names, genders, dates of birth and passwords stored as salted SHA-512 hashes.;08.07.18 00:00;Non-EU;Linkability, Identifiability;0;1;0;Unknown;Unknown;Strong;Profit-Oriented;Network;HIBP;1;0;1
hibp-2024-09-06-Boulanger-boulanger.com-Boulanger;Boulanger;In September 2024, French electronics retailer Boulanger suffered a data breach that exposed over 27M rows of data. The data included 2M unique email addresses along with names, physical addresses, phone numbers and latitude and longitude. The data was later publicly published to a popular hacking forum.;06.09.24 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Unknown;Unknown;Network;HIBP;1;0;0
